Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Upload,Total
AllTruckJobs - Full App,4,1,1,18,16,7,4,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,41,116,0,0,0,0,0,239
AllTruckJobs - Job App,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,3,25,0,0,0,4,0,105
AllTruckJobs - Quick App,4,5,3,25,11,5,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,39,111,1,0,0,0,0,225
AmericanDriverNetwork,4,9,13,45,71,37,10,2,0,0,6,0,4,5,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,72,139,370,4,0,2,9,0,814
BestDriverJobs,8,6,4,50,35,34,5,1,0,0,2,2,3,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,61,86,205,4,0,2,9,0,526
BigRigJobs,2,2,2,8,7,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20,25,61,1,0,0,1,0,139
CareersInTrucks,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,10,0,0,1,1,0,32
CDLCareerNow,7,2,0,40,49,11,9,11,9,0,0,3,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,99,58,208,2,0,0,1,0,518
CDLJobsInc,0,2,0,11,6,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,17,33,2,0,0,0,0,98
EveryTruckJob,1,1,1,4,2,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,11,28,0,0,0,3,0,76
