"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App",8,4,0,13,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,16,54,0,0,0,0,0,119,
"AllTruckJobs - Job App",0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,
"AllTruckJobs - Quick App",6,4,2,9,7,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,22,45,1,0,0,0,0,110,
AmericanDriverNetwork,36,36,8,58,40,14,9,2,0,1,4,1,2,3,0,2,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,2,51,77,205,4,0,2,6,0,571,
BestDriverJobs,22,26,4,37,20,11,3,1,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,43,110,2,0,2,2,0,320,
BigRigJobs,5,4,0,20,7,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,17,47,0,0,0,0,0,122,
CDLJobsInc,3,5,0,8,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,15,1,0,0,0,0,55,
FindTheRightJob,4,0,0,21,18,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,35,78,0,0,0,0,0,172,
HireMaster,24,10,0,22,18,12,3,2,0,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,17,38,91,0,0,1,2,0,253,
HiringDriversNow,24,37,3,36,32,11,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71,150,3,0,2,6,0,404,
HiringTruckDrivers,12,11,0,13,5,4,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,34,54,0,0,0,4,0,158,
"IntelliApp (CRS)",2,2,0,4,4,9,5,9,2,1,2,0,4,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,16,7,13,0,0,0,1,0,86,
"IntelliApp - Partial",10,5,0,6,15,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,17,0,0,0,0,0,73,
JobsForTruckers,11,14,1,23,26,11,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,39,43,72,1,0,1,4,0,255,
JobsInTrucksSR,16,16,4,39,20,7,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,26,80,170,1,0,0,3,0,389,
"LACED LeadSR",82,25,3,66,98,21,8,16,5,3,4,0,5,5,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,1,88,66,189,7,0,0,6,0,707,
LeadApp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
m.BestDriverJobs,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,14,
m.HiringTruckDrivers,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,
RandallReillyMobile,11,8,3,10,8,3,5,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,30,16,23,0,0,0,1,0,125,
SmartPhoneTrucker,12,15,1,16,11,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,10,37,81,0,0,0,0,0,192,
Totals,290,227,29,407,343,118,46,31,8,11,21,8,19,20,1,2,2,1,0,0,3,11,0,18,4,0,0,0,0,0,0,9,413,620,1421,20,0,8,35,0,4146,
