"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
alltruckingjobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"AllTruckJobs - Full App (Experienced)",5,2,0,19,14,6,3,0,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,23,45,109,0,0,0,1,0,235,
"AllTruckJobs - Full App (Student)",0,0,1,8,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,20,0,0,0,0,0,50,
"AllTruckJobs - Job App (Experienced)",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,25,
"AllTruckJobs - Job App (Student)",0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,15,0,0,0,4,0,87,
"AllTruckJobs - Quick App (Experienced)",5,4,1,26,12,7,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14,49,125,1,0,0,0,0,252,
"AllTruckJobs - Quick App (Student)",1,0,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,21,
Auto,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
AutoResp,11,14,59,28,353,193,119,306,143,11,14,69,117,68,8,33,1,4,0,0,0,63,0,31,3,3,0,0,0,0,0,85,260,131,128,14,0,1,4,0,2274,
AutoResp>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
cautionwideturns,0,1,0,0,0,6,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,1,2,0,0,0,0,24,
CDLCareerNow_TruckWarrior_Experienced,0,1,0,6,19,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,52,88,4,0,1,2,0,203,
CDLCareerNow_TruckWarrior_RecentCDLGrads,0,1,1,2,21,3,1,2,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,23,41,1,0,2,1,0,130,
CDLCareerNow_TruckWarrior_Students,1,0,0,2,15,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,17,52,0,0,0,0,0,108,
cdlschool_40481,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
classa,1,2,0,1,0,31,7,0,0,0,2,5,6,4,0,1,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,4,31,13,7,0,0,0,0,0,123,
conceptservices1,0,0,0,0,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,13,
conceptservices2,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,2,2,0,0,0,0,19,
driverreferral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
GoogleExpd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
intelliappconcept1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,
