"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App",3,3,3,21,36,12,3,1,1,0,2,1,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,32,94,175,1,0,3,2,0,401,
"AllTruckJobs - Job App",0,0,18,3,4,2,1,0,26,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,21,0,0,0,0,0,153,
"AllTruckJobs - Quick App",4,8,4,16,23,9,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,3,14,73,192,1,0,0,2,0,362,
AmericanDriverNetwork,11,14,8,83,84,33,5,4,1,0,4,3,5,4,1,0,1,0,0,0,1,0,0,11,0,2,0,0,1,1,0,6,162,206,524,3,0,3,11,0,1192,
BestDriverJobs,11,13,9,50,71,37,11,4,2,1,3,0,11,6,0,2,1,0,0,0,0,0,0,9,1,0,1,0,0,1,0,11,149,203,537,0,0,6,9,0,1159,
BigRigJobs,1,3,3,19,29,12,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,46,75,187,4,0,0,3,0,392,
CDLJobsInc,0,3,2,13,23,7,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,36,29,80,1,0,1,1,0,206,
FindTheRightJob,8,4,1,38,84,16,3,0,0,1,1,1,3,3,0,0,0,0,0,0,0,1,0,4,2,1,0,0,0,0,0,4,76,149,336,3,0,2,2,0,743,
HireMaster,6,4,3,32,31,11,4,1,0,2,1,0,3,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5,65,92,318,6,0,2,4,0,598,
HiringDriversNow,5,5,15,81,93,48,7,4,0,2,5,1,4,0,0,1,1,1,0,0,0,4,0,5,0,1,0,0,0,2,0,11,124,254,627,5,0,1,8,0,1315,
HiringTruckDrivers,7,6,2,24,31,12,2,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,61,102,217,3,0,2,6,0,488,
"IntelliApp (CRS)",3,3,1,6,15,31,16,36,13,0,2,1,7,4,1,1,1,0,0,0,0,2,0,10,0,0,0,0,0,1,0,8,85,53,40,1,0,1,1,0,343,
"IntelliApp - Partial",3,2,2,13,41,3,3,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,27,30,105,1,0,1,0,0,244,
JobsForTruckers,12,12,4,47,53,26,8,1,0,2,5,3,1,1,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,7,115,122,331,0,0,4,7,0,769,
JobsInTrucksSR,12,4,14,73,73,38,9,1,0,1,4,0,2,5,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,8,85,269,584,3,0,2,5,0,1196,
"LACED LeadSR",43,17,15,153,445,117,46,85,18,2,6,6,36,8,3,4,1,0,0,0,0,7,0,25,0,2,0,0,0,1,0,16,683,453,1569,19,0,2,15,0,3797,
LeadApp,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,
m.BestDriverJobs,0,3,1,4,8,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,20,33,1,0,0,1,0,95,
m.HiringTruckDrivers,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,7,7,0,0,0,1,0,24,
RandallReillyMobile,3,2,12,30,33,16,3,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5,67,50,163,1,0,1,2,0,398,
SmartPhoneTrucker,23,8,5,45,23,15,2,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,4,27,117,256,3,0,0,4,0,542,
Totals,157,114,122,755,1200,451,130,149,65,14,44,17,84,45,5,9,7,3,0,0,3,15,0,99,9,9,1,0,1,10,0,94,1929,2406,6306,56,0,31,84,0,14424,
