"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App (Experienced)",2,3,1,21,36,14,5,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,27,95,192,1,0,3,3,0,416,
"AllTruckJobs - Full App (Student)",3,0,4,6,8,3,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,13,17,0,0,0,0,0,74,
"AllTruckJobs - Job App (Experienced)",0,0,0,3,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,10,18,0,0,0,0,0,74,
"AllTruckJobs - Job App (Student)",0,0,18,22,3,2,1,0,23,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,20,0,0,0,0,0,134,
"AllTruckJobs - Quick App (Experienced)",3,8,3,16,22,9,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,15,70,205,1,0,0,2,0,369,
"AllTruckJobs - Quick App (Student)",1,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,7,12,0,0,0,0,0,32,
AutoResp,5,22,71,28,442,327,199,567,253,24,20,96,177,107,58,82,28,5,1,0,3,23,0,88,12,17,13,1,6,57,1,219,556,348,353,20,0,12,1,0,4242,
AutoResp>,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
cautionwideturns,0,0,0,0,0,2,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,8,3,2,0,0,0,0,0,36,
CDLCareerNow_TruckWarrior_Experienced,6,7,2,30,56,25,4,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,50,155,260,3,0,3,11,0,623,
CDLCareerNow_TruckWarrior_RecentCDLGrads,2,4,9,12,45,30,6,2,0,1,4,0,3,2,0,0,2,1,0,0,0,1,0,8,5,0,0,0,0,0,0,6,53,63,132,4,0,0,3,0,398,
CDLCareerNow_TruckWarrior_Students,10,2,6,12,31,7,2,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,22,113,1,0,1,1,0,243,
classa,0,0,0,0,0,56,7,0,0,0,2,2,12,4,4,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,0,10,55,19,31,1,0,0,0,0,210,
conceptservices1,1,0,0,0,2,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3,0,0,0,0,0,26,
conceptservices2,1,0,0,0,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,0,0,0,1,0,32,
FacebookStudent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
intelliappconcept1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,
intelliappconcept2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
JobsInTrucks.com,10,5,16,78,81,42,8,1,0,2,1,0,1,6,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,5,88,315,623,2,0,2,6,0,1298,
joinswift.com,5,4,18,7,91,93,49,111,71,1,4,10,39,29,5,22,5,1,0,0,0,2,0,18,6,4,1,0,1,16,0,64,229,133,148,7,0,5,3,0,1202,
LACEDSwiftLeadFormRegionalHelpWantedExp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
LACEDSwiftLeadFormStudentGenericLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
LACED_DedicatedDT_Indeed_SwiftLeadForm_StocktonCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,6,
LACED_DedicatedDT_SimplyHired_SwiftLeadForm_StocktonCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,6,
LACED_DedicatedFD_Indeed_SwiftLeadForm_RomeNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,
LACED_DedicatedFD_Indeed_SwiftLeadForm_StGeorgeUT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,
LACED_DedicatedRefrigeratedW_Indeed_SwiftLeadForm_PottsvillePA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,8,
LACED_DedicatedRefrigeratedW_SimplyHired_SwiftLeadForm_JohnstownNY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DedicatedRefrigeratedW_SimplyHired_SwiftLeadForm_OpelikaAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,
LACED_DedicatedRefrigeratedW_SimplyHired_SwiftLeadForm_PottsvillePA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,
LACED_DedicatedRefrigeratedW_SimplyHired_SwiftLeadForm_RobertsLA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,
