"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App",6,5,0,18,17,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25,37,54,0,0,0,1,0,170,
"AllTruckJobs - Job App",22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,0,35,
"AllTruckJobs - Quick App",4,6,0,21,6,7,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,21,51,0,0,2,0,0,132,
AmericanDriverNetwork,18,23,4,79,54,22,9,0,0,2,2,0,2,2,0,0,0,1,0,0,1,0,0,8,1,0,0,0,0,2,0,3,48,91,214,0,0,1,4,0,591,
BestDriverJobs,14,20,2,52,31,16,3,0,0,1,2,1,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,43,64,115,0,0,1,3,0,379,
BigRigJobs,6,6,0,14,11,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,19,39,0,0,0,4,0,123,
CareersInTrucks,3,0,0,2,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,2,0,0,0,0,36,
CDLCareerNow,23,6,3,63,49,4,6,6,3,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,49,42,111,0,0,0,0,0,374,
CDLJobsInc,1,3,1,6,4,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,5,17,0,0,0,1,0,66,
EveryTruckJob,1,3,2,11,8,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,21,45,1,0,0,1,0,114,
FindATruckerJob,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
FindTheRightJob,0,2,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,1,0,0,0,0,31,
HireMaster,8,2,1,40,35,15,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,18,45,120,1,0,0,3,0,298,
HiringDriversNow,24,28,8,60,40,16,5,1,0,0,3,0,2,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,40,76,173,2,0,0,2,0,490,
HiringTruckDrivers,3,8,1,22,12,4,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,33,55,0,0,0,1,0,160,
"IntelliApp (Com)",50,40,47,67,257,420,230,506,213,37,39,117,291,105,14,40,3,4,0,0,1,41,0,27,8,10,0,2,8,91,1,29,478,198,150,3,0,3,1,0,3531,
"IntelliApp - Partial",50,25,14,90,321,91,19,80,26,5,3,9,30,9,1,5,0,0,0,0,0,3,0,2,1,2,0,0,1,7,0,2,102,79,195,6,0,0,2,0,1180,
"Internal App",3,3,138,4,868,59,41,101,34,6,13,18,46,15,4,5,1,1,0,0,0,5,0,4,2,2,0,0,1,12,0,3,161,154,71,18,0,1,5,0,1799,
JiggyJobs,6,5,0,15,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,34,31,0,0,0,1,0,125,
