"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
alltruckingjobs,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,
"AllTruckJobs - Full App (Experienced)",3,6,0,20,22,10,3,0,1,1,1,3,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,29,83,170,1,0,0,4,0,362,
"AllTruckJobs - Full App (Student)",1,2,1,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,30,0,0,0,0,0,65,
"AllTruckJobs - Job App (Experienced)",0,1,0,14,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,21,0,0,2,0,0,54,
"AllTruckJobs - Job App (Student)",0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,63,0,0,0,4,0,131,
"AllTruckJobs - Quick App (Experienced)",0,3,1,10,19,7,5,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,23,67,182,1,0,0,1,0,331,
"AllTruckJobs - Quick App (Student)",0,0,2,3,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,1,0,1,0,0,35,
Auto,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
AutoResp,8,4,78,30,481,273,190,483,237,8,19,65,138,102,15,45,5,5,0,0,2,26,0,72,10,16,1,0,1,6,0,271,480,280,252,15,0,11,6,0,3635,
AutoResp>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
cautionwideturns,0,0,0,0,0,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,7,1,2,0,0,0,0,33,
CDLCareerNow_TruckWarrior_Experienced,0,0,0,2,17,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,57,89,4,0,1,3,0,203,
CDLCareerNow_TruckWarrior_RecentCDLGrads,0,0,1,2,15,4,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,24,23,43,1,0,2,2,0,130,
