"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
alltruckingjobs,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,
"AllTruckJobs - Full App (Experienced)",2,5,0,16,23,10,3,0,1,1,1,3,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,29,82,168,1,0,0,4,0,354,
"AllTruckJobs - Full App (Student)",1,0,1,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,30,0,0,0,0,0,63,
"AllTruckJobs - Job App (Experienced)",14,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,21,0,0,2,0,0,53,
"AllTruckJobs - Job App (Student)",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,63,0,0,0,4,0,131,
"AllTruckJobs - Quick App (Experienced)",1,2,1,13,19,6,5,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,22,64,180,1,0,0,0,0,326,
"AllTruckJobs - Quick App (Student)",0,0,2,3,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13,1,0,1,0,0,33,
Auto,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
AutoResp,7,4,76,28,440,267,191,471,231,11,18,62,134,108,15,45,5,5,0,0,2,19,0,74,10,16,0,1,0,19,5,250,468,272,246,15,0,11,6,0,3532,
AutoResp>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
cautionwideturns,0,0,0,0,0,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,7,7,1,2,0,0,0,0,33,
CDLCareerNow_TruckWarrior_Experienced,0,0,0,2,17,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,16,57,89,4,0,1,3,0,203,
CDLCareerNow_TruckWarrior_RecentCDLGrads,0,1,1,1,15,4,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,24,23,43,1,0,2,2,0,130,
CDLCareerNow_TruckWarrior_Students,1,0,0,2,9,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,19,54,0,0,0,0,0,108,
cdlschool_40481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,
classa,0,0,0,0,2,42,12,0,0,0,1,1,15,4,0,2,0,1,0,0,0,2,0,4,2,1,0,0,0,0,0,13,48,25,20,0,0,0,0,0,195,
conceptservices1,0,0,0,0,2,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,21,
conceptservices2,0,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,5,2,0,0,0,0,28,
