Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Upload,Total
AllTruckJobs - Full App,8,4,1,26,18,9,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,27,50,126,0,0,0,1,0,282
AllTruckJobs - Job App,0,0,0,1,50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,3,25,0,0,0,4,0,110
AllTruckJobs - Quick App,3,5,3,35,14,8,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,49,121,1,0,0,0,0,262
AmericanDriverNetwork,10,6,13,57,79,41,10,2,0,1,6,2,3,5,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,86,161,395,4,0,4,9,0,907
BestDriverJobs,20,9,5,48,45,34,9,1,0,0,2,1,4,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,68,99,232,4,0,2,9,0,601
BigRigJobs,3,6,2,12,8,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,28,65,1,0,0,1,0,157
CareersInTrucks,0,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,10,0,0,1,1,0,34
CDLCareerNow,12,5,0,48,54,8,7,13,9,0,0,1,1,1,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,113,64,228,2,0,0,1,0,578
CDLJobsInc,1,2,0,11,9,1,2,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20,22,41,2,0,0,0,0,118
EveryTruckJob,1,2,1,9,2,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,14,31,0,0,0,3,0,87
FindATruckerJob,4,1,0,7,12,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,16,6,38,0,0,0,0,0,90
FindTheRightJob,16,3,2,43,59,14,1,15,2,0,1,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,50,244,4,0,0,1,0,522
