Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Rehire Submitted,Scheduled,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
alltruckingjobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AllTruckJobs - Full App (Experienced),7,7,6,44,17,7,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,48,124,0,0,0,0,0,0,296
AllTruckJobs - Full App (Student),0,3,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,22,0,0,0,0,0,0,56
AllTruckJobs - Job App (Experienced),0,0,1,3,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,22
AllTruckJobs - Job App (Student),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,10
AllTruckJobs - Quick App (Experienced),6,6,5,35,7,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,17,45,125,0,0,0,3,0,0,263
AllTruckJobs - Quick App (Student),1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,11,0,0,0,0,0,0,29
Autoesp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AutoResp,7,22,63,64,405,395,202,516,269,15,137,13,109,128,7,46,2,4,0,0,0,36,0,35,10,11,0,0,0,0,0,197,453,301,313,10,0,4,4,11,0,3789
careerbuilder_entrylevel,1,0,1,1,14,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,13,34,0,0,0,0,0,0,92
careerbuilder_experienced,1,1,0,9,15,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,10,26,1,0,0,0,0,0,85
careerbuilder_traineee,1,0,0,8,11,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,13,47,0,0,0,2,0,0,102
cautionwideturns,0,0,0,0,0,9,3,1,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,11,4,3,2,0,0,0,0,0,52
cdlschool_40481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
classa,1,1,0,0,0,49,15,0,0,1,0,0,14,7,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,11,22,7,27,1,0,1,0,1,0,166
classa.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
coastalcol_53481,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
drip,0,3,0,2,106,58,29,84,72,2,15,1,17,10,2,3,1,1,0,0,0,5,0,3,1,4,0,0,0,0,0,18,66,50,27,2,0,1,0,2,0,585
gadrivingacademy_14664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
GoogleExpd,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
jobsinmotion_entrylevel,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
jobsinmotion_experienced,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,8
jobsinmotion_trainee,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
JobsInTrucks.com,32,39,11,153,110,41,9,3,2,2,4,0,1,1,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,5,140,366,653,4,0,3,8,0,0,1596
joinswift.com,3,11,32,20,69,80,48,93,69,5,25,3,21,19,1,13,1,4,0,0,0,14,0,4,1,0,0,0,0,0,0,66,121,78,88,2,0,2,2,4,0,899
LACEDSwiftLeadFormDedicatedRefrigeratedMOCraigslist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LACED_DedicatedDT_Craigslist_SignOnBonus_Intelliapp_MariettaOK,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7
LACED_DedicatedDT_Craigslist_SignOnBonus_SwiftLeadForm_MariettaOK,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,13
LACED_DedicatedDT_Indeed_SignOnBonus_Intelliapp_MariettaOK,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LACED_DedicatedDT_Indeed_SignOnBonus_SwiftLeadForm_MariettaOK,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6
