Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Upload,Total
AllTruckJobs - Full App,2,6,1,14,14,4,6,0,0,1,4,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,9,63,106,243,5,0,1,5,0,491
AllTruckJobs - Job App,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,0,0,7
AllTruckJobs - Quick App,4,4,1,15,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,44,86,227,1,0,2,3,0,409
AmericanDriverNetwork,4,31,2,50,24,12,3,0,0,2,2,0,0,4,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,19,175,318,701,6,0,3,14,0,1377
BayardSwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,8
CareerBuilder,10,6,0,28,4,5,4,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,92,214,381,3,0,1,63,0,826
CareersInTrucks,2,0,0,5,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,39,76,2,0,0,1,0,146
CBJobsInMotion,0,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,26,50,1,0,0,4,0,104
CDLCareerNow,5,3,0,26,14,9,1,2,1,4,0,0,0,3,0,0,4,2,0,0,1,0,0,2,0,0,0,0,0,0,0,16,59,155,420,2,0,1,5,0,735
ClassADrivers,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,23,32,0,0,0,1,0,70
EveryTruckJob,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,11,0,0,0,0,0,21
FindingATruckingJob,10,30,5,40,25,12,6,3,2,3,4,0,1,4,0,0,0,2,0,0,2,0,0,5,1,0,0,0,0,0,0,18,198,317,704,5,0,2,14,0,1413
Findtherightjob,43,17,1,158,52,10,18,6,1,2,0,1,0,2,0,1,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,9,328,556,1875,8,0,3,6,0,3105
GetTruckerJobs.com,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,8,0,0,0,0,0,25
HiringDriversNow,4,15,1,19,8,6,7,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,14,64,144,367,6,0,0,1,0,669
IntelliApp (Com),14,26,13,56,84,177,200,66,55,137,60,2,22,106,4,34,101,122,0,0,61,0,0,238,33,3,0,0,0,0,3,1804,2420,2608,1807,11,0,131,27,0,10425
IntelliApp - Partial,19,18,9,71,69,54,31,24,15,19,16,1,4,20,2,4,18,20,0,0,11,0,0,37,5,1,0,0,0,0,0,262,697,880,1478,36,0,15,21,0,3857
IntelliApp - Transfer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,8
Internal App,0,6,11,12,247,45,57,25,25,18,27,0,10,23,0,5,21,29,0,0,13,1,0,53,5,0,0,0,0,0,1,430,699,1502,1411,77,0,23,11,0,4787
JiggyJobs,1,1,0,12,4,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,14,67,105,0,0,2,23,0,243
