"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App (Experienced)",4,9,2,36,15,11,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,27,35,146,1,0,2,2,2,0,306,
"AllTruckJobs - Full App (Student)",7,1,5,7,9,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,28,0,0,1,0,0,0,98,
"AllTruckJobs - Job App (Experienced)",0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,9,0,0,0,0,0,0,31,
"AllTruckJobs - Job App (Student)",1,1,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,15,0,0,0,0,0,0,34,
"AllTruckJobs - Quick App (Experienced)",4,9,1,32,6,9,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,20,42,160,1,0,1,3,2,0,306,
"AllTruckJobs - Quick App (Student)",3,0,6,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,0,0,0,0,0,0,31,
AutoResp,8,16,98,66,485,544,220,679,439,34,115,66,99,55,8,133,14,13,0,2,3,61,0,79,17,9,1,4,0,24,0,293,660,573,415,14,0,7,1,26,0,5281,
careerbuilder_entrylevel,2,3,6,10,20,7,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,37,18,59,0,0,0,1,0,0,173,
careerbuilder_experienced,0,4,0,6,6,9,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,25,15,38,0,0,0,1,0,0,111,
careerbuilder_traineee,3,1,1,9,15,7,1,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,24,83,0,0,0,1,0,0,178,
careersintrucks,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
cautionwideturns,0,0,0,0,0,2,4,2,1,0,1,0,3,3,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6,6,5,0,1,0,0,0,1,0,40,
cdlschool_40481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
classa,1,0,0,0,1,34,6,2,0,1,1,0,6,5,0,0,0,0,0,0,0,7,0,3,1,0,0,0,0,0,0,21,32,9,32,2,0,0,0,1,0,165,
drip,1,1,2,1,102,64,31,107,74,3,6,8,13,9,0,18,0,1,0,0,0,6,0,6,1,0,0,0,0,0,0,32,79,71,39,3,0,2,0,4,0,684,
gadrivingacademy_14664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
GoogleExpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
jobsinmotion_entrylevel,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,18,
