"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App",3,3,0,18,21,9,4,1,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,38,75,154,1,0,0,2,0,338,
"AllTruckJobs - Job App",14,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,0,0,2,3,0,57,
"AllTruckJobs - Quick App",0,2,2,13,20,6,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,25,62,164,2,0,0,0,0,310,
AmericanDriverNetwork,10,11,24,73,119,73,16,2,0,0,7,2,6,6,0,2,0,0,0,0,0,2,0,8,1,0,0,0,0,1,0,13,186,284,710,5,0,4,12,0,1577,
BestDriverJobs,11,10,7,62,79,45,15,4,1,2,2,1,4,2,0,1,1,0,0,0,1,1,0,5,0,0,0,1,0,1,0,12,146,213,490,5,0,4,14,0,1140,
BigRigJobs,1,8,4,28,24,7,7,3,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,64,79,191,1,0,0,3,0,433,
CDLJobsInc,1,0,1,15,13,4,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,32,34,62,2,0,0,1,0,178,
FindTheRightJob,0,0,0,3,14,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,43,97,0,0,0,0,0,172,
HireMaster,1,4,1,34,42,24,4,1,1,4,2,0,5,2,0,0,0,1,0,0,0,2,0,2,2,0,0,0,0,0,0,6,64,130,380,1,0,1,6,0,720,
HiringDriversNow,2,6,11,62,103,42,8,1,0,3,4,4,5,2,0,0,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,3,107,270,539,7,0,2,15,0,1204,
HiringTruckDrivers,3,10,4,28,33,17,1,2,1,0,3,2,1,1,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,62,110,228,3,0,0,7,0,530,
"IntelliApp (CRS)",2,0,0,8,9,23,15,31,16,0,2,2,7,6,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,11,70,39,39,0,0,0,2,0,290,
"IntelliApp - Partial",2,0,0,11,34,4,2,5,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,31,40,76,1,0,0,1,0,215,
JobsForTruckers,6,9,10,31,92,43,10,3,2,3,9,0,5,1,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,16,139,184,368,5,0,4,13,0,961,
JobsInTrucksSR,6,11,8,47,50,20,7,1,0,2,2,1,4,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,2,0,5,81,267,553,1,0,1,9,0,1085,
"LACED LeadSR",50,8,10,136,289,65,23,65,28,0,13,5,10,14,0,2,0,0,0,0,0,2,0,11,3,3,0,0,0,1,0,18,361,321,821,23,0,0,34,0,2316,
LeadApp,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,
m.BestDriverJobs,0,1,0,4,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,30,0,0,0,0,0,77,
m.HiringTruckDrivers,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,0,0,0,0,0,21,
RandallReillyMobile,4,5,5,27,23,7,3,1,0,0,2,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,68,39,123,4,0,1,4,0,326,
Signature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
SmartPhoneTrucker,3,8,3,34,28,8,2,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,49,144,263,4,0,1,2,0,560,
Totals,120,97,90,636,1003,404,128,122,52,18,51,19,55,48,1,6,3,3,0,1,4,8,0,61,14,5,0,1,0,7,1,106,1567,2352,5327,65,0,20,128,0,12523,
