Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Upload,Total
AllTruckJobs - Full App,1,5,0,16,10,3,4,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,83,0,0,0,0,0,183
AllTruckJobs - Job App,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,31
AllTruckJobs - Quick App,3,1,2,12,9,5,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,35,82,1,0,0,0,0,166
AmericanDriverNetwork,10,8,14,42,63,36,16,2,0,0,6,0,5,4,0,2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,3,90,137,373,5,0,2,8,0,833
BestDriverJobs,12,12,5,53,33,30,5,4,1,0,2,1,4,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,70,98,233,3,0,2,7,0,581
BigRigJobs,3,12,1,21,12,8,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,31,37,80,1,0,0,1,0,213
CDLJobsInc,1,0,0,11,8,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,17,26,1,0,0,0,0,86
FindTheRightJob,0,0,0,6,16,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,95,0,0,0,0,0,172
HireMaster,4,1,0,39,20,15,3,2,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,36,70,162,0,0,1,2,0,372
HiringDriversNow,4,2,6,49,51,25,4,0,0,2,3,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,45,139,267,4,0,2,9,0,621
HiringTruckDrivers,7,2,1,24,11,8,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,29,58,114,1,0,0,6,0,271
IntelliApp (CRS),1,0,0,0,9,15,6,10,4,2,1,1,5,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,5,31,17,23,0,0,0,1,0,136
IntelliApp - Partial,1,0,0,4,21,3,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,34,1,0,0,0,0,111
JobsForTruckers,15,16,4,38,46,19,7,0,0,2,2,0,4,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,7,62,84,139,2,0,3,5,0,460
JobsInTrucksSR,6,3,8,43,35,15,4,0,0,2,2,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,40,140,315,1,0,0,5,0,625
LACED LeadSR,9,9,5,62,151,37,12,35,12,2,4,2,9,3,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,1,0,8,162,152,362,13,0,0,10,0,1068
LeadApp,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
m.BestDriverJobs,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,0,0,0,0,0,30
m.HiringTruckDrivers,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,12
RandallReillyMobile,0,2,4,13,16,6,3,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,44,25,55,3,0,0,1,0,184
Signature,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SmartPhoneTrucker,4,6,3,26,17,6,4,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,23,77,159,2,0,1,1,0,338
Totals:,81,82,53,463,533,236,72,64,19,15,27,7,42,22,1,2,2,1,0,1,4,4,0,29,7,3,0,0,0,2,0,35,760,1188,2637,38,0,11,56,0,6497
