Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Rehire Submitted,Scheduled,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
alltruckingjobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AllTruckJobs - Full App (Experienced),4,7,6,47,22,12,1,0,0,2,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,37,67,150,1,0,0,1,0,0,365
AllTruckJobs - Full App (Student),0,2,4,6,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,7,24,0,0,0,1,0,0,72
AllTruckJobs - Job App (Experienced),1,2,0,3,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,0,0,0,0,0,0,42
AllTruckJobs - Job App (Student),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,11
AllTruckJobs - Quick App (Experienced),6,3,6,29,15,9,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,22,55,160,0,0,0,4,0,0,319
AllTruckJobs - Quick App (Student),0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,15,0,0,0,0,0,0,37
Autoesp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AutoResp,10,20,80,68,429,439,237,590,363,20,147,17,146,106,12,76,5,8,0,1,0,20,0,63,15,17,0,0,0,10,0,299,601,451,397,12,0,10,6,16,0,4691
careerbuilder_entrylevel,0,2,1,1,13,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,14,35,0,0,0,0,0,0,97
careerbuilder_experienced,1,1,0,7,15,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,15,31,1,0,0,0,0,0,100
