"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
m.DriverRecruiting,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,0,0,13,
m.HiringTruckDrivers,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,9,0,0,0,0,0,0,23,
m.JobsForTruckers,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,9,
RandallReillyMobile,2,6,0,6,5,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,33,10,60,2,0,0,0,0,0,132,
"Referral Program",3,2,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,6,0,0,0,2,0,0,25,
Signature,0,0,0,1,3,15,2,0,0,1,6,1,54,15,0,4,0,1,0,0,0,19,0,19,8,2,0,0,0,0,0,159,47,21,4,1,0,3,1,2,0,389,
SmartPhoneTrucker,7,6,4,24,19,12,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18,64,125,0,0,1,1,1,0,289,
SwiftLead,55,23,9,84,200,94,18,85,40,1,5,3,6,10,0,10,1,1,0,0,0,0,0,5,0,2,0,0,0,0,0,12,259,140,438,10,0,0,5,4,0,1520,
TruckDrivingJobs.com,10,8,3,51,53,30,9,3,1,2,1,1,1,2,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,7,82,167,282,2,0,0,8,4,0,736,
TruckingJobsHub,5,2,0,4,10,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,22,43,0,0,1,0,0,0,107,
TruckJobSeekers,1,4,0,11,6,4,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,11,17,54,0,0,0,11,0,0,128,
Totals,1668,937,854,2636,6490,3381,1020,2598,1530,189,431,99,554,557,25,376,51,49,2,5,19,201,0,296,89,62,0,0,0,1,0,1469,7443,6986,16037,302,0,75,331,133,0,56896,
