"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App",15,25,6,36,24,15,4,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,43,41,160,1,0,3,2,2,0,388,
"AllTruckJobs - Job App",3,2,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,21,0,0,0,0,0,0,59,
"AllTruckJobs - Quick App",11,16,7,24,8,10,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,20,42,161,1,0,1,3,2,0,321,
AmericanDriverNetwork,65,64,26,160,192,80,20,18,11,4,4,3,4,6,1,3,1,1,0,0,3,2,0,12,2,0,0,0,0,0,0,14,225,337,946,4,0,4,13,1,0,2226,
BestDriverJobs,19,32,12,52,74,39,10,1,0,5,3,0,3,4,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,9,74,156,323,1,0,2,7,1,0,838,
BigRigJobs,7,4,2,19,11,11,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,22,30,133,0,0,1,4,2,0,256,
CareerBuilder,12,7,5,22,34,22,4,9,1,0,2,0,2,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,78,52,171,0,0,0,3,0,0,435,
CareersInTrucks,2,5,0,4,8,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,20,43,1,0,1,1,0,0,107,
CBJobsInMotion,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,22,
CDLCareerNow,60,14,11,125,167,46,15,25,9,1,4,4,4,3,0,5,1,1,0,0,6,2,0,0,1,1,0,0,0,0,0,7,217,266,775,11,0,4,3,5,0,1793,
CDLJobsInc,9,18,4,12,16,10,4,2,0,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,55,26,88,0,0,1,4,2,0,261,
EveryTruckJob,8,7,3,14,13,12,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,26,32,86,1,0,1,8,0,0,223,
FindATruckerJob,1,2,1,4,4,5,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,33,2,0,0,2,0,0,85,
HireMaster,40,46,4,80,51,18,13,2,0,4,2,0,5,0,0,0,3,0,0,0,0,1,0,7,1,0,0,0,0,0,0,4,75,138,414,6,0,2,10,0,0,926,
HiringDriversNow,43,46,12,90,114,67,7,0,2,6,1,0,1,1,0,0,1,1,0,0,1,2,0,5,2,1,0,0,0,0,0,17,121,247,517,6,0,3,16,3,0,1333,
HiringTruckDrivers,8,12,6,32,15,14,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,3,33,49,181,0,0,2,1,0,0,366,
"IntelliApp (Com)",118,109,173,93,496,1276,481,1257,786,68,252,52,305,333,14,218,26,29,1,4,2,111,0,137,35,32,0,0,0,1,0,805,1654,1026,680,6,0,24,11,59,0,10674,
"IntelliApp - Partial",94,44,45,173,671,313,69,207,104,18,35,4,25,33,0,27,1,2,0,0,0,15,0,18,2,5,0,0,0,0,0,83,423,428,941,28,0,4,10,7,0,3829,
"IntelliApp - Transfer",0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,37,
"Internal App",5,9,380,4,1790,182,94,240,158,25,37,8,51,50,5,40,3,5,0,0,0,17,0,20,4,8,0,0,0,0,0,98,480,675,350,55,0,4,6,7,0,4810,
JiggyJobs,10,13,0,14,12,10,5,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,47,62,0,0,0,3,0,0,201,
JobsForTruckers,18,22,4,46,61,29,5,2,0,4,0,0,2,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,10,72,99,238,6,0,1,11,0,0,636,
JobsInTrucks.com,76,46,11,120,90,45,5,5,4,0,0,1,7,0,0,0,0,1,0,0,2,2,0,8,1,1,0,0,0,0,0,2,104,351,732,7,0,1,9,1,0,1632,
JobsInTrucksDedicated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,
"LACED Lead",949,333,89,1299,2319,997,233,732,408,32,73,21,72,93,3,67,11,6,1,0,3,20,0,45,21,6,0,0,0,0,0,208,3154,2427,7843,150,0,8,174,30,0,21827,
m.BestDriverJobs,4,2,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,7,30,0,0,0,2,0,0,66,
m.BigRigJobs,0,3,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,20,
m.BigTruckDrivingJobs,4,5,0,14,11,9,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,16,61,1,0,2,0,0,0,152,
