Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Rehire Submitted,Scheduled,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
AllTruckJobs - Full App,0,4,5,21,10,11,5,2,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,16,40,109,255,2,0,1,3,0,0,500
AllTruckJobs - Job App,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,0,0,0,0,0,0,13
AllTruckJobs - Quick App,0,2,4,21,14,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,25,82,271,0,0,5,3,0,0,444
AmericanDriverNetwork,1,8,1,58,43,24,10,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,25,161,256,709,4,0,1,16,0,0,1327
CareersInTrucks,0,1,1,9,11,5,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,32,41,119,0,0,0,2,0,0,235
CDLCareerNow,14,9,8,59,45,21,4,14,4,1,1,0,0,4,0,1,2,2,0,0,3,0,0,8,1,0,0,0,0,1,0,30,189,276,710,7,0,3,4,4,0,1425
EveryTruckJob,0,3,1,18,15,4,7,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,54,60,117,1,0,2,3,0,0,302
FindATruckerJob,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,22,0,0,0,0,0,0,44
FindTheRightJob,16,7,5,171,110,18,11,14,3,1,0,0,1,3,1,0,5,1,0,0,1,0,0,6,1,0,0,0,0,0,0,19,185,491,1531,17,0,1,4,1,0,2624
HiringDriversNow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0,0,0,0,0,10
IntelliApp (Com),22,25,74,63,161,392,235,437,132,70,6,2,23,84,3,23,127,65,0,1,59,1,0,300,45,8,0,2,0,2,0,2187,2504,2632,2104,14,0,141,31,7,0,11982
IntelliApp - Partial,20,16,27,83,152,76,37,107,36,20,0,1,1,6,1,8,22,10,0,0,14,0,0,48,12,1,0,0,0,0,0,274,710,936,1649,45,0,27,11,4,0,4354
IntelliApp - Transfer,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,13
Internal App,0,8,279,5,547,87,54,106,39,32,0,0,3,26,0,6,35,11,0,0,14,1,0,79,7,4,0,0,0,0,0,501,823,1915,1247,77,0,25,13,1,0,5945
JiggyJobs,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,24,23,61,0,0,0,1,0,0,120
JobsInTrucks.com,0,7,5,55,29,20,4,1,0,2,1,0,1,1,0,0,1,1,0,0,0,0,0,2,3,0,0,0,0,0,0,18,99,352,697,10,0,2,10,0,0,1321
JobsInTrucksDedicated,0,5,0,42,28,10,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,16,65,239,438,7,0,0,5,0,0,866
LACED Lead,144,87,77,802,636,247,134,361,101,33,5,2,16,29,0,14,70,18,0,0,24,1,0,150,21,1,0,1,0,0,0,707,3420,3590,8441,209,0,44,91,5,1,19482
Signature,0,1,1,2,4,10,0,0,0,4,1,0,0,0,0,0,2,1,0,0,0,0,0,21,7,0,0,0,0,0,0,195,64,45,20,2,0,7,1,0,0,388
TruckDrivingJobs.com,0,1,1,9,7,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,13,33,79,159,2,0,0,2,0,0,323
TruckJobSeekers,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,21,54,0,0,1,6,0,0,121
Totals:,219,185,495,1432,1818,936,512,1051,316,174,14,5,45,158,5,52,266,112,0,1,115,3,0,638,106,14,0,3,0,3,0,4034,8467,11159,18615,397,0,260,206,22,1,51839
