Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Upload,Total
AllTruckJobs - Full App,5,4,1,17,14,7,4,1,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,39,109,0,0,0,0,0,229
AllTruckJobs - Job App,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,3,25,0,0,0,4,0,105
AllTruckJobs - Quick App,9,3,3,20,10,5,2,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,39,105,1,0,0,0,0,215
AmericanDriverNetwork,9,16,11,52,67,35,12,2,0,0,6,0,3,4,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,71,131,354,4,0,2,9,0,799
BestDriverJobs,12,10,4,40,31,34,5,0,0,0,2,1,4,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,53,82,196,4,0,2,9,0,497
BigRigJobs,1,3,2,11,8,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,19,24,56,1,0,0,1,0,135
CareersInTrucks,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,10,0,0,1,1,0,32
CDLCareerNow,16,1,0,54,51,12,9,10,8,0,0,1,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,94,56,179,2,0,0,1,0,503
CDLJobsInc,1,0,0,10,7,3,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,17,31,2,0,0,0,0,95
EveryTruckJob,3,4,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,7,28,0,0,0,3,0,72
FindATruckerJob,2,1,0,7,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13,5,30,0,0,0,0,0,73
FindTheRightJob,7,2,2,27,51,12,1,10,1,0,1,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,44,223,4,0,0,1,0,448
HireMaster,7,10,3,34,21,17,3,2,0,4,2,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,39,78,186,0,0,1,2,0,421
HiringDriversNow,15,13,6,52,55,27,4,0,0,2,3,2,3,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,3,47,147,287,4,0,3,9,0,686
HiringTruckDrivers,10,2,2,15,7,5,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,26,26,64,1,0,0,5,0,172
IntelliApp (Com),34,26,95,65,337,589,310,676,307,33,65,122,326,225,16,42,5,5,0,1,3,121,0,57,10,18,0,2,0,13,5,251,853,377,296,5,0,6,6,0,5302
IntelliApp - Partial,32,14,19,101,472,124,45,91,35,1,10,25,29,18,0,4,0,0,0,0,1,16,0,5,2,3,0,0,0,2,1,25,241,172,468,22,0,2,5,0,1985
IntelliApp - Transfer,3,0,12,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30
Internal App,7,2,380,7,1059,68,58,95,67,7,19,16,54,28,0,4,2,1,0,0,0,17,0,7,1,4,0,0,0,1,0,38,240,303,108,20,1,1,1,0,2616
JiggyJobs,0,4,1,11,21,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,38,56,85,2,0,1,2,0,236
JobsForTruckers,8,13,3,34,50,17,8,1,0,2,3,1,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,7,48,85,129,2,0,3,6,0,428
JobsInTrucks.com,7,7,6,44,37,16,4,0,0,4,2,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,39,149,292,2,0,0,5,0,620
JobsInTrucksDedicated,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0,0,0,0,0,28
LACED Lead,308,70,50,631,1368,396,125,414,147,10,16,37,81,57,5,6,0,1,0,0,3,36,0,29,5,2,0,0,0,1,0,33,1547,1014,3430,79,0,9,44,0,9954
m.BestDriverJobs,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,9,0,0,0,0,0,18
m.BigRigJobs,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,11
m.BigTruckDrivingJobs,0,3,0,4,7,5,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18,10,23,0,0,0,0,0,77
m.DriverRecruiting,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,11
m.HiringTruckDrivers,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,7
m.JobsForTruckers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
RandallReillyMobile,0,0,5,9,4,2,2,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,8,28,1,0,0,0,0,89
Referral Program,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,10
Signature,0,0,0,0,1,3,3,0,0,2,0,1,42,13,0,2,0,0,0,0,0,9,0,7,3,7,0,0,0,4,0,63,9,9,1,0,0,1,0,0,180
TruckDrivingJobs.com,13,13,0,29,51,19,4,1,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,36,104,148,1,0,1,6,0,437
TruckJobSeekers,1,1,0,6,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,14,0,0,0,14,0,65
Totals:,510,224,607,1295,3814,1422,608,1308,568,66,140,211,562,360,22,63,9,7,0,2,11,210,0,132,25,36,0,2,0,22,6,440,3627,3018,6936,158,1,33,134,0,26589
