"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App (Experienced)",7,22,2,24,15,9,2,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,26,31,140,1,0,2,2,2,0,296,
"AllTruckJobs - Full App (Student)",6,1,5,9,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,25,0,0,1,0,0,0,93,
"AllTruckJobs - Job App (Experienced)",2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,8,0,0,0,0,0,0,30,
"AllTruckJobs - Job App (Student)",0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,15,0,0,0,0,0,0,32,
"AllTruckJobs - Quick App (Experienced)",7,12,1,18,6,9,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,18,39,158,1,0,1,3,2,0,289,
"AllTruckJobs - Quick App (Student)",2,1,6,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,0,0,0,0,0,29,
AutoResp,8,24,94,58,466,539,228,659,412,30,110,42,96,48,6,138,12,10,0,2,2,62,0,88,14,10,0,0,0,1,0,291,624,528,394,13,0,6,1,24,0,5040,
careerbuilder_entrylevel,7,3,4,7,17,7,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,17,59,0,0,0,1,0,0,165,
careerbuilder_experienced,1,3,0,5,6,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,25,14,35,0,0,0,1,0,0,105,
careerbuilder_traineee,6,0,1,7,13,6,2,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,21,82,0,0,0,1,0,0,171,
careersintrucks,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
cautionwideturns,0,0,0,0,0,1,5,2,1,0,3,1,2,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,5,5,0,1,0,0,0,1,0,39,
cdlschool_40481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
classa,1,1,0,0,1,27,8,2,0,0,2,0,4,5,0,1,0,0,0,0,0,5,0,3,1,1,0,0,0,0,0,20,31,8,35,2,0,0,0,1,0,159,
drip,2,3,2,1,116,59,29,110,65,2,9,3,11,6,0,18,0,1,0,0,0,3,0,6,0,0,0,0,0,0,0,32,71,67,37,3,0,2,0,4,0,662,
gadrivingacademy_14664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
GoogleExpd,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
jobsinmotion_entrylevel,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,18,
jobsinmotion_experienced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,
jobsinmotion_trainee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,
JobsInTrucks.com,64,53,11,124,91,47,4,5,4,0,0,1,5,0,0,0,0,1,0,0,2,2,0,10,1,1,0,0,0,0,0,3,106,351,748,7,0,1,9,1,0,1652,
joinswift.com,3,6,33,17,64,94,42,134,92,6,28,6,22,6,2,35,1,3,0,0,1,7,0,9,7,8,0,0,0,0,1,71,153,118,130,3,0,1,1,2,0,1106,
