Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
LACED_DR_Experienced_EmploymentNetwork_CareerHorizon_lp,6,10,1,12,27,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,21,37,2,0,0,0,0,0,135
LACED_DR_Experienced_EveryTruckJob_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LACED_DR_Experienced_Monster_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACED_DR_Experienced_Monster_SwiftLeadForm,0,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,27
LACED_DR_Experienced_SimplyHired_SwiftLeadForm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Experienced_Yahoo_Intelliapp,0,0,1,4,7,14,4,13,7,1,2,2,10,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,8,21,15,21,1,0,1,1,0,0,137
LACED_DR_Experienced_Yahoo_SwiftLeadForm,4,1,4,17,32,17,3,17,4,1,3,2,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,59,48,98,9,0,0,4,0,0,341
LACED_DR_Exp_AmericanDriverNetwork_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LACED_DR_Exp_CDLCareerNow_TruckWarrior_CareerHorizon_SwiftLeadForm,3,4,1,18,37,11,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,41,103,142,2,0,1,0,0,0,376
LACED_DR_Exp_Craigslist_CareerHorizon_Intelliapp,0,0,2,1,3,1,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,34
LACED_DR_Exp_Craigslist_CareerHorizon_SwiftLeadForm,0,0,2,2,10,3,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,17,18,32,0,0,0,1,0,0,96
LACED_DR_Exp_EveryTruckJob_CareerHorizon_SwiftLeadForm,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LACED_DR_Exp_FindATruckerJob_CareerHorizon_Intelliapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACED_DR_Exp_FindATruckerJob_CareerHorizon_SwiftLeadForm,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,9
LACED_DR_Exp_Google_CareerHorizon_SwiftLeadForm,34,10,31,81,328,93,27,55,48,4,5,16,44,38,2,7,2,0,0,0,1,7,0,23,4,6,0,1,0,1,0,71,377,195,505,40,0,2,7,0,0,2065
LACED_DR_Exp_Indeed_CareerHorizon_Intelliapp,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,19
LACED_DR_Exp_Indeed_CareerHorizon_SwiftLeadForm,3,2,3,6,21,8,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,15,29,45,1,0,0,1,0,0,151
