"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App",13,17,2,15,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,72,
"AllTruckJobs - Job App",5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"AllTruckJobs - Quick App",20,18,2,10,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,1,0,0,71,
AmericanDriverNetwork,96,66,2,51,17,11,1,1,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,16,5,25,0,0,1,3,0,0,304,
BestDriverJobs,26,29,1,22,8,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,9,8,0,0,1,1,0,0,121,
BigRigJobs,6,9,1,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,38,
CareerBuilder,21,4,0,14,11,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,8,0,0,0,0,0,0,69,
CareersInTrucks,2,9,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,20,
CBJobsInMotion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,
CDLCareerNow,59,29,0,34,19,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4,13,0,0,0,0,0,0,176,
CDLJobsInc,5,3,1,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,26,
EveryTruckJob,4,7,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,28,
FindATruckerJob,15,4,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,33,
HireMaster,32,31,2,18,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,1,0,0,2,0,0,112,
HiringDriversNow,50,52,2,33,6,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,0,0,0,2,0,0,172,
HiringTruckDrivers,8,17,3,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,46,
"IntelliApp (Com)",152,104,37,59,160,191,44,82,42,12,44,41,42,23,0,5,0,0,0,0,1,6,0,3,1,1,0,0,0,0,0,5,59,10,16,1,0,0,2,2,0,1145,
"IntelliApp - Partial",122,41,5,86,207,30,5,8,5,4,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,14,41,1,0,0,0,0,0,585,
"IntelliApp - Transfer",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Internal App",0,0,25,1,206,17,4,9,4,9,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,1,1,0,0,2,0,0,335,
JiggyJobs,8,9,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,28,
JobsForTruckers,26,20,0,13,9,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,9,1,0,0,2,0,0,90,
JobsInTrucks.com,85,40,2,39,11,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,20,26,0,0,0,0,0,0,235,
"LACED Lead",1185,307,9,485,287,105,13,28,16,5,6,8,6,2,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,1,169,46,212,2,0,0,2,0,0,2901,
m.BestDriverJobs,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
m.BigRigJobs,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,
m.BigTruckDrivingJobs,6,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,1,0,0,24,
m.DriverRecruiting,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
m.HiringTruckDrivers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
m.JobsForTruckers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
RandallReillyMobile,5,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,
"Referral Program",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Signature,0,1,0,0,0,0,0,0,0,0,2,1,13,5,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,35,
SmartPhoneTrucker,44,23,1,9,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,104,
SwiftLead,69,24,1,31,17,13,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,15,0,0,0,0,1,0,187,
TruckDrivingJobs.com,24,19,1,22,12,6,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,7,19,0,0,0,2,0,0,125,
TruckingJobsHub,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,1,0,0,17,
TruckJobSeekers,3,5,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,17,
Totals,2101,903,101,1003,1007,416,84,132,72,36,60,59,73,38,0,7,2,6,0,0,4,14,0,10,5,2,0,0,0,0,0,11,343,185,454,7,0,3,24,3,0,7165,
