"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App",5,4,2,32,14,7,5,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,18,84,0,0,3,0,1,0,199,
"AllTruckJobs - Job App",0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,13,0,0,0,0,0,0,42,
"AllTruckJobs - Quick App",3,6,3,28,5,12,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,25,94,0,0,0,1,0,0,197,
AmericanDriverNetwork,25,24,11,149,79,64,5,10,3,4,3,0,4,1,1,1,1,1,0,0,1,5,0,6,0,0,0,0,0,0,0,4,130,173,469,1,0,1,3,1,0,1180,
BestDriverJobs,5,8,7,43,45,19,11,2,0,1,2,0,6,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,36,83,153,1,0,1,2,0,0,432,
BigRigJobs,3,9,1,16,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,18,62,0,0,1,3,2,0,150,
CareerBuilder,4,0,5,19,28,10,2,4,0,0,4,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,47,30,82,0,0,0,1,0,0,245,
CareersInTrucks,1,1,0,7,7,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,16,0,0,1,1,0,0,53,
CBJobsInMotion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,9,
CDLCareerNow,27,13,4,116,94,34,15,10,6,0,4,4,4,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,116,100,364,7,0,3,0,0,0,929,
CDLJobsInc,1,5,2,19,9,7,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,28,0,0,1,4,2,0,117,
EveryTruckJob,0,2,3,18,3,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,49,1,0,1,7,0,0,129,
FindATruckerJob,0,2,1,6,6,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,27,0,0,0,2,0,0,74,
HireMaster,8,17,3,70,28,22,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,44,74,204,2,0,1,4,0,0,491,
HiringDriversNow,4,7,4,101,52,28,3,0,2,3,1,0,2,1,0,0,0,1,0,0,0,4,0,4,1,0,0,0,0,0,0,6,67,127,273,4,0,0,10,0,0,705,
HiringTruckDrivers,9,5,6,30,9,9,2,1,0,1,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,17,20,91,0,0,0,0,0,0,207,
"IntelliApp (Com)",35,31,100,121,344,761,386,770,416,54,181,113,225,139,5,123,7,8,0,0,0,136,0,79,10,13,0,1,0,2,0,203,773,383,287,0,0,4,6,25,0,5741,
"IntelliApp - Partial",15,13,21,173,434,190,47,114,50,10,16,15,21,13,0,8,0,0,0,0,0,14,0,6,0,2,0,0,0,0,0,15,203,165,443,15,0,1,2,1,0,2007,
"IntelliApp - Transfer",0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"Internal App",2,2,211,4,1208,98,70,141,89,12,25,18,34,19,0,18,0,1,0,0,0,18,0,13,1,2,0,0,0,0,0,20,239,313,160,26,0,0,3,2,0,2749,
JiggyJobs,2,0,0,9,12,9,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,33,0,0,0,2,0,0,112,
JobsForTruckers,4,4,3,48,40,13,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,39,49,123,3,0,1,6,0,0,345,
JobsInTrucks.com,22,7,4,125,40,18,1,3,1,0,0,0,4,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,60,198,318,5,0,1,1,1,0,817,
JobsInTrucksDedicated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,
"LACED Lead",271,105,47,1453,1490,546,147,405,214,19,46,29,53,39,3,33,12,3,0,0,2,29,0,20,3,2,0,0,0,0,0,36,1616,1082,3831,73,0,3,141,8,0,11761,
m.BestDriverJobs,1,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,12,0,0,0,1,0,0,32,
m.BigRigJobs,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,9,
m.BigTruckDrivingJobs,6,2,0,10,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,29,1,0,2,0,0,0,83,
m.DriverRecruiting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,6,
m.HiringTruckDrivers,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,17,
m.JobsForTruckers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,
RandallReillyMobile,0,3,0,6,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,26,1,0,0,0,0,0,62,
"Referral Program",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5,
