Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Upload,Total
AllTruckJobs - Full App,2,3,0,14,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,24,34,0,0,0,1,0,108
AllTruckJobs - Job App,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,11
AllTruckJobs - Quick App,6,2,0,19,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,23,0,0,0,0,0,75
AmericanDriverNetwork,8,11,3,43,28,10,4,0,0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,29,53,131,0,0,1,3,0,339
BestDriverJobs,9,9,2,29,23,15,1,0,0,1,2,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,28,34,80,0,0,0,3,0,244
BigRigJobs,6,1,0,10,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,11,23,0,0,0,2,0,75
CareersInTrucks,3,5,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17
CDLCareerNow,12,5,3,37,24,4,2,3,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,33,27,73,0,0,0,0,0,231
CDLJobsInc,0,1,0,7,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,3,12,0,0,0,1,0,46
EveryTruckJob,1,0,2,9,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,14,32,1,0,0,1,0,79
FindTheRightJob,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1,0,0,0,0,22
HireMaster,11,1,1,17,19,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,27,69,0,0,0,1,0,166
HiringDriversNow,4,1,2,42,30,8,2,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,39,103,0,0,0,0,0,269
HiringTruckDrivers,2,2,1,19,7,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,19,32,0,0,0,1,0,100
IntelliApp (Com),19,19,31,64,158,304,152,332,120,27,25,102,207,131,2,0,0,1,0,0,1,37,0,4,1,4,0,0,0,0,3,26,282,87,81,0,0,3,1,0,2224
IntelliApp - Partial,12,9,8,74,207,56,13,50,9,1,3,10,24,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,52,53,101,4,0,0,2,0,707
Internal App,4,2,105,2,612,41,22,66,24,8,6,22,29,15,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,104,87,41,10,0,1,1,0,1209
JiggyJobs,2,2,0,14,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,17,13,0,0,0,1,0,69
JobsForTruckers,10,13,2,23,24,10,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,35,32,57,0,0,2,1,0,216
JobsInTrucks.com,7,2,1,29,12,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,7,45,81,0,0,0,0,0,191
JobsInTrucksDedicated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
LACED Lead,187,50,29,661,767,173,67,138,45,4,8,35,49,37,0,0,4,2,0,0,1,6,0,8,3,0,0,0,0,0,0,3,658,417,1036,32,0,1,11,0,4432
m.BestDriverJobs,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,10
m.BigRigJobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5
m.BigTruckDrivingJobs,0,1,2,6,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10,0,0,0,0,0,41
m.DriverRecruiting,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
m.HiringTruckDrivers,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
m.JobsForTruckers,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RandallReillyMobile,0,2,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,1,2,0,23
Referral Program,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Signature,0,1,0,1,1,4,3,1,0,1,0,6,30,14,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,12,5,1,0,0,0,1,0,0,87
TruckDrivingJobs.com,2,9,1,55,30,21,4,0,0,0,5,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,77,95,1,0,0,2,0,341
TruckJobSeekers,1,0,1,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,1,4,0,25
Totals:,310,155,194,1183,2003,671,277,594,200,44,61,182,358,219,2,1,6,6,0,0,2,52,0,23,12,5,0,0,0,0,4,66,1396,1096,2157,49,0,11,38,0,11377
