"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App (Experienced)",4,3,1,27,10,5,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,13,73,0,0,2,0,1,0,162,
"AllTruckJobs - Full App (Student)",1,1,1,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,0,1,0,0,0,37,
"AllTruckJobs - Job App (Experienced)",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,22,
"AllTruckJobs - Job App (Student)",0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,0,0,0,0,0,0,22,
"AllTruckJobs - Quick App (Experienced)",3,6,0,28,4,11,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,23,88,0,0,0,1,0,0,182,
"AllTruckJobs - Quick App (Student)",0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,13,
AutoResp,6,16,52,53,346,331,191,407,216,20,76,35,110,55,3,47,3,3,0,0,0,58,0,34,6,6,0,0,0,0,0,69,266,206,177,5,0,1,0,10,0,2808,
careerbuilder_entrylevel,1,0,4,4,9,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,19,10,22,0,0,0,1,0,0,81,
careerbuilder_experienced,1,0,0,5,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,9,17,0,0,0,0,0,0,61,
careerbuilder_traineee,2,0,1,10,15,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,11,43,0,0,0,0,0,0,103,
