"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App (Experienced)",3,6,0,17,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,30,41,0,0,0,1,0,129,
"AllTruckJobs - Full App (Student)",2,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,8,0,0,0,0,0,28,
"AllTruckJobs - Job App (Experienced)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,5,
"AllTruckJobs - Job App (Student)",18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,26,
"AllTruckJobs - Quick App (Experienced)",5,1,0,16,5,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,44,0,0,2,0,0,108,
"AllTruckJobs - Quick App (Student)",0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,9,
AutoResp,4,10,19,26,225,143,90,235,90,19,6,42,103,31,5,16,2,1,0,0,0,20,0,6,3,1,1,2,0,15,0,1,110,61,68,3,0,1,0,0,1359,
cautionwideturns,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,
classa,0,0,0,0,0,21,3,0,0,0,2,1,7,3,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,54,
conceptservices1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,
conceptservices2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,
intelliappconcept1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,
JobsInTrucks.com,14,5,2,44,21,5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,18,67,119,0,0,0,0,0,303,
joinswift.com,5,6,6,12,58,36,28,63,30,2,3,11,29,10,2,1,0,0,0,0,0,12,0,4,1,1,1,0,0,1,1,4,57,24,28,0,0,0,0,0,436,
