"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
alltruckingjobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
"AllTruckJobs - Full App (Experienced)",2,7,2,30,16,10,2,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,41,162,1,0,2,2,2,0,322,
"AllTruckJobs - Full App (Student)",3,0,6,13,10,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,31,0,0,1,0,0,0,109,
"AllTruckJobs - Job App (Experienced)",0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,10,0,0,0,0,0,0,33,
"AllTruckJobs - Job App (Student)",0,0,3,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,16,0,0,0,0,0,0,35,
"AllTruckJobs - Quick App (Experienced)",6,4,2,28,6,8,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,21,50,176,1,0,1,3,3,0,324,
"AllTruckJobs - Quick App (Student)",2,0,6,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,0,0,0,0,0,0,34,
AutoResp,4,7,106,64,476,538,223,723,471,30,114,34,148,93,7,129,14,13,0,2,3,16,0,69,21,24,0,3,1,13,3,370,733,654,447,14,0,7,1,31,0,5606,
careerbuilder_entrylevel,2,1,6,12,17,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,41,21,63,0,0,0,1,0,0,179,
careerbuilder_experienced,1,1,0,6,7,10,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,26,16,39,0,0,0,1,0,0,114,
careerbuilder_traineee,2,1,1,6,16,6,1,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,25,87,0,0,0,1,0,0,181,
careersintrucks,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
cautionwideturns,0,0,0,0,0,5,4,3,0,0,0,0,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,9,5,1,1,0,0,0,1,0,47,
cdlschool_40481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
classa,2,2,0,0,0,32,5,2,0,1,0,0,7,4,0,0,0,0,0,1,0,1,0,2,1,3,0,0,0,2,0,23,38,9,36,2,0,0,0,2,0,175,
drip,1,3,1,2,92,64,37,108,73,2,9,2,20,14,0,18,0,1,0,0,0,2,0,3,0,0,0,0,0,2,1,35,83,85,47,4,0,2,0,5,0,716,
gadrivingacademy_14664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
GoogleExpd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
jobsinmotion_entrylevel,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,1,0,0,0,0,0,19,
jobsinmotion_experienced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,
jobsinmotion_trainee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,
