Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Rehire Submitted,Scheduled,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
AllTruckJobs - Full App,0,3,3,27,11,4,3,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,10,62,119,276,3,0,2,7,1,0,540
AllTruckJobs - Job App,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,15
AllTruckJobs - Quick App,2,1,2,29,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,27,94,294,0,0,2,3,0,0,468
AmericanDriverNetwork,5,6,4,66,28,18,9,0,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,20,168,290,676,2,0,2,13,0,0,1328
CareerBuilder,0,3,3,7,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,31,36,88,1,0,1,1,0,0,185
CareersInTrucks,0,0,0,4,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,19,30,1,0,1,2,0,0,76
CBJobsInMotion,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,12
CDLCareerNow,10,3,4,76,28,27,13,11,5,1,0,0,0,0,0,2,1,3,0,0,1,0,0,9,1,0,0,0,0,0,0,41,220,281,706,13,0,2,7,0,0,1465
EveryTruckJob,0,3,4,12,7,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,39,66,159,4,0,0,8,0,0,318
FindATruckerJob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
Findtherightjob,25,9,2,158,54,20,9,13,7,0,0,0,1,1,0,4,3,0,0,0,1,1,0,5,3,0,0,0,0,0,0,14,269,515,1444,11,0,5,8,0,0,2582
HiringDriversNow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,0,1,0,0,0,0,0,11
IntelliApp (Com),13,22,65,70,114,298,226,337,145,69,5,2,28,73,4,31,82,77,0,1,56,6,0,277,33,0,0,0,0,1,0,1944,2530,2669,2111,21,0,107,27,2,0,11446
IntelliApp - Partial,17,19,21,97,81,62,44,95,32,13,0,0,5,13,0,9,19,12,0,0,13,2,0,48,6,0,0,0,0,0,0,292,667,956,1481,52,0,17,15,1,0,4089
IntelliApp - Transfer,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,11
Internal App,1,14,154,11,346,59,69,113,48,23,2,1,12,19,0,8,24,25,0,0,22,1,0,54,3,0,0,0,0,0,0,521,873,2112,1553,118,0,26,18,2,0,6232
JiggyJobs,0,2,1,10,5,3,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,27,54,81,0,0,0,9,0,0,200
JobsInTrucks.com,0,7,3,89,39,21,11,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,14,1,0,0,0,0,0,0,35,157,470,1104,16,0,3,13,0,0,1990
JobsInTrucksDedicated,0,3,1,32,11,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,51,160,313,6,0,0,3,0,0,615
LACED Lead,60,112,85,626,308,179,167,259,126,22,1,1,19,43,1,13,39,41,0,1,19,5,0,125,13,0,0,0,0,0,0,679,3200,3495,7721,227,0,47,72,3,0,17709
Signature,0,0,0,1,7,6,1,0,0,11,0,0,1,1,0,1,2,3,0,0,0,0,0,12,1,0,0,0,0,0,0,145,61,40,29,8,0,7,2,0,0,339
TruckDrivingJobs.com,1,4,3,16,4,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,35,65,139,3,0,1,2,0,0,294
TruckJobSeekers,0,3,1,7,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,29,22,58,1,0,0,2,0,0,134
Totals:,141,214,357,1338,1053,730,559,831,364,154,8,4,72,156,5,70,172,163,0,2,114,15,0,577,63,0,0,0,0,1,0,3753,8471,11471,18272,488,0,223,212,9,0,50062
