Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Rehire Submitted,Scheduled,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
AllTruckJobs - Full App (Experienced),9,9,4,38,16,6,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,91,0,0,0,0,0,0,238
AllTruckJobs - Full App (Student),2,3,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,17,0,0,0,0,0,0,45
AllTruckJobs - Job App (Experienced),0,0,0,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,19
AllTruckJobs - Job App (Student),0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,10
AllTruckJobs - Quick App (Experienced),5,2,4,40,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,14,37,88,0,0,0,3,0,0,208
AllTruckJobs - Quick App (Student),2,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,23
Autoesp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AutoResp,4,4,45,52,342,341,192,366,189,13,72,56,82,67,2,54,1,1,0,0,0,61,0,36,5,2,0,0,0,0,0,89,306,193,206,9,0,2,2,8,0,2802
careerbuilder_entrylevel,1,1,1,7,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,9,24,0,0,0,0,0,0,76
careerbuilder_experienced,1,4,0,7,12,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,18,1,0,0,0,0,0,66
careerbuilder_traineee,4,0,0,10,12,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,35,0,0,0,2,0,0,89
cautionwideturns,1,0,0,0,0,6,5,2,0,2,2,2,5,2,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,3,2,3,2,0,0,0,0,0,42
cdlschool_40481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
