"Adroll,Student",8663244329,2
"AllTruckJobs.com,Experienced",8666702459,2
"AllTruckJobs.com,Student",8668720451,3
"AllTruckJobs.com,TBD",8666044462,1
"American Driver Network,Experienced",8662630561,1
"American Driver Network,Experienced",8887958619,27
"American Driver Network,Student",8888500319,51
"AppCast,Student",8886935231,1
"Bayard,TBD",8663457778,3
"Bayard,TBD",8663566407,1
"CDL Careers Now,Experienced",8663083704,67
"CDL Careers Now,Recent Grad",8663111623,40
"CDL Careers Now,Recent Grad",8668471955,4
"CDL Careers Now,Student",8887010266,3
"CDL Careers Now - TruckWarrior,Jan2016",8667571576,1
"CDL Careers Now - TruckWarrior,Student",8667560198,1
"CDL Life,Dedicated",8666300914,7
"CareerBuilder.com,Experienced",8885952756,38
"CareerBuilder.com,Recent Grad",8886675892,54
"CareerBuilder.com,Student",8886907216,35
"CareersInTrucks,Experienced",8665427039,1
"Craigslist.com,Dedicated",8665236698,21
"Craigslist.com,Dedicated",8885590882,1
"Craigslist.com,Dedicated",8888080711,1
"Craigslist.com,Experienced",8889034056,170
"Craigslist.com,Jan2016",8666021807,2
"Craigslist.com,Recent Grad",8888840968,255
"Craigslist.com,Student",8887928597,615
"Everytruckjob.com,Experienced",8664332920,7
"Everytruckjob.com,Recent Grad",8664255062,6
"Everytruckjob.com,TBD",8666602688,1
"Facebook,Experienced",8669090036,34
"Facebook,Student",8664665321,2
"FindATruckerJob.com,Experienced",8664148516,30
"FindATruckerJob.com,Recent Grad",8669273781,5
"FindATruckerJob.com,Student",8665230671,38
"Google,Dedicated",8669744335,4
"Google,Experienced",8662616709,1
"Google,Experienced",8887258631,2579
"Google,Flatbed",8662616761,1
"Google,Student",8887205733,5856
"Hiring Drivers Now,Experienced",8662531033,1
"Hiring Drivers Now,Student",8662516621,4
"Indeed.com,Dedicated",8668921975,7
"Indeed.com,Experienced",8663319235,40
"Indeed.com,Experienced",8666115611,1
"Indeed.com,Jan2016",8669213078,4
"Indeed.com,Recent Grad",8663338389,245
"Indeed.com,Student",8662461337,285
"Indeed.com,TBD",8665468157,37
"Jibe,Experienced",8665039974,17
"Jibe,Recent Grad",8663962545,26
"Jobs2Careers,Experienced",8662361771,1
"Jobs2Careers,Experienced",8886946157,29
