"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
LACED_DedicatedDT_JobsInTrucks_SignOnBonus_Intelliapp_MariettaOK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DedicatedDT_JobsInTrucks_SignOnBonus_SwiftLeadForm_MariettaOK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_Intelliapp_ArcadiaFL,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,8,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_Intelliapp_JohnstownNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_Intelliapp_LosLunasNM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_Intelliapp_MonroeGA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_Intelliapp_PottsvillePA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_SwiftLeadForm_ArcadiaFL,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,13,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_SwiftLeadForm_JohnstownNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_SwiftLeadForm_LosLunasNM,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,7,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_SwiftLeadForm_MonroeGA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,
LACED_DedicatedRefrigeratedW_Craigslist_SignOnBonus_SwiftLeadForm_PottsvillePA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DedicatedRefrigeratedW_Google_SignOnBonus_Intelliapp_General,0,0,0,0,4,5,1,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,13,8,0,0,0,0,0,0,42,
LACED_DedicatedRefrigeratedW_Google_SignOnBonus_SwiftLeadForm_General,0,0,4,4,9,6,1,2,2,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,23,31,46,1,0,0,0,0,0,142,
LACED_DedicatedRefrigeratedW_Indeed_SignOnBonus_SwiftLeadForm_RobertLA,0,0,0,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,21,
LACED_DedicatedRefrigeratedW_JobsInTrucks_SignOnBonus_SwiftLeadForm_LosLunasNM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DedicatedRefrigeratedW_JobsInTrucks_SignOnBonus_SwiftLeadForm_RobertLA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,
LACED_DedicatedRefrigeratedW_TopUSAJobs_SignOnBonus_Intelliapp_ArcadiaFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DedicatedRefrigeratedW_TopUSAJobs_SignOnBonus_SwiftLeadForm_ArcadiaFL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
LACED_DedicatedRefrigeratedW_YahooBing_SignOnBonus_Intelliapp_General,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,13,
LACED_DedicatedRefrigeratedW_YahooBing_SignOnBonus_SwiftLeadForm_General,0,0,2,2,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,15,1,0,0,1,1,0,49,
LACED_DedicatedT_Craigslist_HostlerDriver_Intelliapp_WoodlandCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DedicatedT_Craigslist_HostlerDriver_SwiftLeadForm_WoodlandCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DedicatedT_Craigslist_TeamDriver_SwiftLeadForm_LakeCityFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
LACED_DedicatedT_Jibe_HostlerDriver_Intelliapp_WoodlandCA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DedicatedT_Jibe_HostlerDriver_SwiftLeadForm_WoodlandCA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DedicatedW_JIBE_SignOnBonus_SwiftLeadForm_GrandviewWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
LACED_DR_driveswiftteams.com_LeadForm,0,2,0,3,14,11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11,16,19,0,0,0,0,0,0,84,
LACED_DR_Experienced_AmericanDriverNetwork_CareerHorizon_Email_SwiftLeadForm,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,
LACED_DR_Experienced_CareerBuilder_SwiftLeadForm,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,
LACED_DR_Experienced_CDLJobs_CareerHorizon_Email_SwiftLeadForm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,
LACED_DR_Experienced_EveryTruckJob_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,
LACED_DR_Experienced_FindATruckerJob_Intelliapp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DR_Experienced_FindATruckerJob_SwiftLeadForm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DR_Experienced_HiringDriversNow_CareerHorizon_Intelliapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,
LACED_DR_Experienced_JIBE_CareerHorizon_SwiftLeadForm,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,
LACED_DR_Experienced_JobsInTrucks_CareerHorizon_Email_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DR_Experienced_Yahoo_Intelliapp,0,4,2,3,11,15,7,16,8,0,3,0,1,5,5,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,14,40,21,15,1,0,0,1,0,0,177,
