"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App",5,6,1,29,23,4,3,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,29,62,91,0,0,0,1,0,262,
"AllTruckJobs - Job App",18,3,0,2,11,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,7,0,0,0,0,0,57,
"AllTruckJobs - Quick App",4,1,0,24,11,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,42,79,0,0,2,0,0,185,
AmericanDriverNetwork,17,11,6,111,79,32,10,3,0,3,3,3,6,2,0,0,1,2,0,0,1,0,0,10,2,0,0,0,0,0,0,8,100,177,355,0,0,2,8,0,952,
BestDriverJobs,8,16,5,86,59,18,6,0,0,2,5,1,2,1,0,1,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,4,61,108,202,0,0,2,4,0,598,
BigRigJobs,4,6,0,32,15,4,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,24,34,63,1,0,0,7,0,200,
CareersInTrucks,0,0,0,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,21,2,0,0,0,0,49,
CDLCareerNow,17,8,6,58,61,8,7,9,6,2,1,0,2,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,80,64,187,0,0,0,0,0,523,
CDLJobsInc,0,1,2,4,8,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,7,29,0,0,0,1,0,87,
EveryTruckJob,1,1,3,3,13,7,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,26,68,1,0,1,2,0,154,
FindATruckerJob,0,1,0,2,11,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,23,0,0,0,0,0,53,
FindTheRightJob,2,2,0,2,10,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16,1,0,0,0,0,48,
HireMaster,6,13,3,47,40,19,3,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,3,30,83,210,2,0,1,3,0,474,
HiringDriversNow,4,7,9,71,57,23,7,1,0,0,5,0,7,3,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,5,64,128,269,2,0,0,5,0,672,
HiringTruckDrivers,6,10,2,32,19,5,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,22,46,91,0,0,0,1,0,245,
"IntelliApp (Com)",21,18,76,105,295,624,298,700,376,36,41,118,317,186,17,91,8,9,0,0,4,165,0,84,22,12,0,0,1,5,1,230,834,393,276,3,0,6,4,0,5376,
"IntelliApp - Partial",13,8,24,114,435,126,32,109,43,3,10,14,52,14,1,10,2,0,0,0,0,15,0,2,3,1,0,0,0,0,0,20,186,165,399,12,0,1,3,0,1817,
"IntelliApp - Transfer",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,
"Internal App",2,2,277,6,1255,94,62,124,71,7,22,18,53,27,3,15,2,1,0,0,0,22,0,11,3,0,0,0,0,1,0,29,258,305,146,28,0,2,7,0,2853,
JiggyJobs,5,6,0,22,21,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,20,48,68,0,0,0,1,0,205,
JobsForTruckers,4,4,4,58,55,24,5,2,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,70,77,162,1,0,3,3,0,486,
JobsInTrucks.com,3,4,5,62,32,6,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,32,134,204,2,0,0,1,0,495,
JobsInTrucksDedicated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,
"LACED Lead",250,67,67,1086,1715,422,125,374,174,11,30,30,93,54,2,11,15,4,0,0,2,43,0,43,10,0,0,0,0,6,0,45,1823,1213,3590,86,0,1,35,0,11427,
m.BestDriverJobs,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,0,0,0,0,0,27,
m.BigRigJobs,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,0,0,0,0,0,19,
m.BigTruckDrivingJobs,3,1,3,9,4,4,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,19,26,1,0,0,2,0,96,
m.DriverRecruiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,8,
m.HiringTruckDrivers,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,6,
m.JobsForTruckers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,
RandallReillyMobile,0,2,1,12,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27,5,20,0,0,1,2,0,85,
"Referral Program",1,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,21,
Signature,0,0,0,0,1,7,5,0,1,0,0,6,41,8,0,1,0,0,0,0,0,20,0,13,8,4,0,0,0,0,1,60,13,11,2,1,0,1,0,0,204,
TruckDrivingJobs.com,17,16,12,145,80,49,14,2,1,0,9,5,5,0,0,1,5,1,0,0,0,1,0,2,0,0,0,0,0,0,0,9,83,203,279,2,0,0,8,0,949,
TruckJobSeekers,0,0,1,4,3,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,19,0,0,2,8,0,58,
Totals,412,214,516,2146,4334,1501,595,1328,676,65,139,200,597,307,23,130,37,19,0,0,7,274,0,186,56,20,0,0,1,12,2,430,3872,3401,6934,145,0,25,106,0,28710,
