"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App (Experienced)",4,6,1,22,16,4,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,20,56,75,0,0,0,1,0,214,
"AllTruckJobs - Full App (Student)",1,0,0,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,16,0,0,0,0,0,48,
"AllTruckJobs - Job App (Experienced)",0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,15,
"AllTruckJobs - Job App (Student)",18,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,0,43,
"AllTruckJobs - Quick App (Experienced)",4,1,0,22,11,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,39,74,0,0,2,0,0,173,
"AllTruckJobs - Quick App (Student)",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,11,
AutoResp,0,11,41,27,322,225,130,370,188,21,11,46,136,71,6,37,4,1,0,0,1,47,0,25,11,2,0,0,0,1,1,72,262,166,136,5,0,4,0,0,2380,
cautionwideturns,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,12,
classa,1,0,0,0,1,28,7,0,0,0,0,0,7,3,0,1,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,6,19,8,3,0,0,0,0,0,90,
conceptservices1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,
conceptservices2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,
intelliappconcept1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,
JobsInTrucks.com,3,4,5,62,32,6,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,32,135,206,2,0,0,1,0,498,
joinswift.com,2,0,9,18,64,65,38,104,71,3,4,14,37,24,2,4,0,2,0,0,0,14,0,7,2,4,0,0,0,0,0,31,100,55,60,2,0,0,0,0,736,
LACED_DedicatedW_Craigslist_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4,
LACED_DedicatedW_Indeed_Intelliapp_WinterhavenFL_Apr2016,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,2,1,0,0,0,0,12,
LACED_DedicatedW_Indeed_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,4,7,2,0,0,1,0,31,
LACED_DedicatedW_JobsInTrucks_Intelliapp_WinterhavenFL_Apr2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DedicatedW_JobsInTrucks_SwiftLeadForm_BrundidgeAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DedicatedW_JobsInTrucks_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,10,
LACED_DedicatedW_SimplyHired_Intelliapp_WinterhavenFL_Apr2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,
LACED_DedicatedW_SimplyHired_SwiftLeadForm_WinterhavenFL_Apr2016,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,4,10,0,0,0,0,0,23,
LACED_DR_Experienced_EmploymentNetwork_CareerHorizon_lp,2,2,0,2,9,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,1,0,0,0,0,44,
LACED_DR_Experienced_EveryTruckJob_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DR_Experienced_Monster_Intelliapp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DR_Experienced_Monster_SwiftLeadForm,0,0,0,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,26,
LACED_DR_Experienced_SimplyHired_SwiftLeadForm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
LACED_DR_Experienced_Yahoo_Intelliapp,0,0,2,3,7,9,2,5,1,0,0,0,7,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,14,9,14,1,0,0,0,0,83,
LACED_DR_Experienced_Yahoo_SwiftLeadForm,2,1,3,11,19,13,1,7,1,0,1,0,4,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,39,28,54,6,0,0,1,0,200,
LACED_DR_Exp_AmericanDriverNetwork_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
LACED_DR_Exp_CDLCareerNow_TruckWarrior_CareerHorizon_SwiftLeadForm,0,1,0,22,29,9,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,29,72,94,2,0,0,0,0,269,
