"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
"AllTruckJobs - Full App",4,6,2,18,32,10,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,47,96,175,0,0,2,2,0,0,407,
"AllTruckJobs - Job App",18,0,0,0,9,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,10,0,0,1,0,0,0,66,
"AllTruckJobs - Quick App",2,4,1,16,11,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,22,70,150,0,0,2,0,0,0,292,
AmericanDriverNetwork,10,16,11,66,144,45,15,2,0,3,5,1,8,4,0,0,1,3,0,0,1,0,0,12,2,0,0,0,0,1,0,25,181,266,634,3,0,4,16,0,0,1479,
BestDriverJobs,6,10,11,50,92,35,6,2,0,2,2,0,5,3,0,2,0,0,0,0,0,1,0,6,2,3,0,0,0,0,0,10,127,190,475,1,0,2,10,0,0,1053,
BigRigJobs,1,6,1,29,32,7,4,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,4,42,56,142,2,0,2,8,0,0,346,
CareersInTrucks,0,1,2,0,12,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,16,45,2,0,0,1,0,0,99,
CDLCareerNow,21,4,7,39,85,20,14,14,10,2,1,0,3,3,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,128,90,337,0,0,0,0,0,0,785,
CDLJobsInc,2,3,2,5,11,5,3,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,43,23,57,0,0,1,2,0,0,167,
EveryTruckJob,1,4,2,12,15,11,3,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,33,41,103,1,0,1,3,1,0,240,
FindATruckerJob,1,1,0,7,15,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,37,0,0,0,0,0,0,94,
FindTheRightJob,5,6,1,14,29,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,23,43,2,0,0,0,0,0,144,
HireMaster,5,11,4,31,58,23,1,1,0,1,2,0,0,3,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,14,58,124,359,4,0,1,8,0,0,713,
HiringDriversNow,2,9,17,66,80,40,8,2,2,0,5,0,11,5,0,0,0,1,0,0,1,3,0,5,3,1,0,0,0,0,0,8,109,244,520,3,0,0,11,0,0,1156,
HiringTruckDrivers,5,8,3,31,41,10,3,0,0,1,1,1,1,2,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,40,93,196,1,0,1,5,1,0,456,
"IntelliApp (Com)",22,27,141,55,418,824,460,1046,713,26,54,94,424,416,41,143,19,22,0,0,6,95,0,159,53,41,0,1,0,35,10,717,1514,858,688,4,0,27,6,3,0,9162,
"IntelliApp (Com) - Mobile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
"IntelliApp - Partial",19,11,40,96,710,181,60,155,96,2,13,14,55,54,4,16,2,1,0,0,0,10,0,10,7,3,0,0,0,5,2,70,353,349,781,20,0,5,7,1,0,3152,
"IntelliApp - Transfer",0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,32,
"Internal App",3,7,450,8,2005,138,96,196,140,5,26,17,63,70,8,30,6,1,0,0,0,10,0,16,11,7,0,0,0,8,2,98,498,585,295,62,0,4,15,0,0,4880,
JiggyJobs,1,9,3,22,33,12,1,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,42,88,152,0,0,0,3,0,0,379,
JobsForTruckers,2,11,9,36,85,29,8,2,1,1,1,0,3,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,127,145,322,3,0,4,10,0,0,815,
JobsInTrucks.com,8,12,7,49,56,21,2,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,6,53,222,348,2,0,1,2,0,0,804,
JobsInTrucksDedicated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,
"LACED Lead",308,85,117,907,2673,614,201,590,393,15,28,21,124,138,11,27,18,7,0,0,4,21,0,78,17,13,0,0,0,11,3,175,3203,2171,7120,162,0,8,66,1,0,19330,
m.BestDriverJobs,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,12,0,0,0,1,0,0,36,
m.BigRigJobs,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,0,0,0,0,0,0,23,
m.BigTruckDrivingJobs,1,1,3,1,3,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,26,26,36,1,0,0,2,0,0,109,
m.DriverRecruiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,8,
m.HiringTruckDrivers,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,7,
m.JobsForTruckers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,6,
RandallReillyMobile,0,1,1,0,7,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,36,12,36,1,0,1,2,0,0,106,
