"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted","Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact",Upload,Total,
"AllTruckJobs - Full App (Experienced)",6,5,1,16,32,14,4,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,26,93,186,1,0,3,3,0,402,
"AllTruckJobs - Full App (Student)",1,1,4,6,5,3,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,12,16,0,0,0,0,0,67,
"AllTruckJobs - Job App (Experienced)",0,9,0,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,10,19,0,0,0,0,0,72,
"AllTruckJobs - Job App (Student)",0,0,18,26,3,2,1,0,23,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,17,0,0,0,0,0,134,
"AllTruckJobs - Quick App (Experienced)",7,2,3,19,24,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,15,66,191,1,0,0,2,0,346,
"AllTruckJobs - Quick App (Student)",0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,7,12,0,0,0,0,0,31,
AutoResp,1,14,67,35,421,321,180,529,231,19,25,77,170,131,43,86,21,5,0,0,3,66,0,77,8,15,0,0,0,0,2,214,517,314,339,16,0,10,1,0,3958,
cautionwideturns,0,0,0,0,0,5,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,8,3,1,0,0,0,0,0,33,
CDLCareerNow_TruckWarrior_Experienced,13,15,2,30,53,24,3,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,46,146,239,2,0,2,11,0,596,
CDLCareerNow_TruckWarrior_RecentCDLGrads,1,7,9,19,41,28,5,2,0,1,3,0,2,2,0,0,2,1,0,0,0,1,0,8,5,0,0,0,0,0,0,6,50,60,123,4,0,0,3,0,383,
CDLCareerNow_TruckWarrior_Students,11,1,5,8,33,7,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,105,1,0,1,1,0,227,
classa,0,1,1,0,0,47,7,0,0,0,1,2,10,5,1,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,10,50,18,31,1,0,0,0,0,194,
conceptservices1,0,0,0,0,2,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3,0,0,0,0,0,24,
conceptservices2,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,1,0,27,
FacebookStudent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
intelliappconcept1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,
intelliappconcept2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
JobsInTrucks.com,29,20,15,49,80,36,7,0,0,2,1,0,1,5,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,4,81,288,586,2,0,2,5,0,1219,
